Example 10.3 Results.
Domain: x=[ 0.,  1.] t=[0.0,  0.2]
Domain size (x, Time) = 00006x00011
        Grid: 0.000000E+00 0.200000E+00 0.400000E+00 0.600000E+00 0.800000E+00 0.100000E+01
 0.000000E+00 0.000000E+00 0.640000E+00 0.960000E+00 0.960000E+00 0.640000E+00 0.000000E+00
 0.200000E-01 0.000000E+00 0.480000E+00 0.800000E+00 0.800000E+00 0.480000E+00 0.000000E+00
 0.400000E-01 0.000000E+00 0.400000E+00 0.640000E+00 0.640000E+00 0.400000E+00 0.000000E+00
 0.600000E-01 0.000000E+00 0.320000E+00 0.520000E+00 0.520000E+00 0.320000E+00 0.000000E+00
 0.800000E-01 0.000000E+00 0.260000E+00 0.420000E+00 0.420000E+00 0.260000E+00 0.000000E+00
 0.100000E+00 0.000000E+00 0.210000E+00 0.340000E+00 0.340000E+00 0.210000E+00 0.000000E+00
 0.120000E+00 0.000000E+00 0.170000E+00 0.275000E+00 0.275000E+00 0.170000E+00 0.000000E+00
 0.140000E+00 0.000000E+00 0.137500E+00 0.222500E+00 0.222500E+00 0.137500E+00 0.000000E+00
 0.160000E+00 0.000000E+00 0.111250E+00 0.180000E+00 0.180000E+00 0.111250E+00 0.000000E+00
 0.180000E+00 0.000000E+00 0.900000E-01 0.145625E+00 0.145625E+00 0.900000E-01 0.000000E+00
 0.200000E+00 0.000000E+00 0.728125E-01 0.117813E+00 0.117813E+00 0.728125E-01 0.000000E+00
